headline,year
Resigned Woman Just Letting Her Dog Eat Random Sidewalk Chicken Nugget,2020
9/11 Was Personal 9/11 for Woman Who Shit Her Pants on 9/11,2020
Woman’s ‘It’s Too Hot to Go for a Run’ Excuse Stretches Into Fall,2020
Terrified Nation Watches Helplessly as On-And-Off Couple Gets Dog,2020
"BREAKING: There Are Actually 8 Jonas Brothers, But Most of Them Are Missing",2020
"Election Day During Scorpio Season, Classic",2020
Wow! This Tortoise Turned 150 and Smokes a Pack a Day,2020
Absolute Moron: This Man Wants to Be an Actor Even Though Ethan Hawke Already Exists,2020
"Slutty Outfits You Can’t Wear Because Your Dad is a Strict, Overprotective Sea King",2020
"3 Pairs of Dishwashing Gloves That Say, ‘Those Chickens Are Up to Something’",2020
Woman Can’t Wait to Tell Grandchildren About Historic Weekend Spent Waiting for President to Die,2020
We’re Obsessed With These Fall Coats That Don’t Give a Shit About Us,2020
Study Finds Constantly Refreshing Inbox Has No Effect On Fate,2020
REPORT: It’s Cool When a Song Mentions DMs,2020
Woman Too Worried About Reproductive Rights to Worry About Being Criticized for Drinking Pumpkin Spice Latté,2020
Hypocrite? This So-Called Socialist is Earning Money at Her Job,2020
Four Abercrombie &amp; Fitch Tees That Can’t Hurt You Anymore,2020
"BREAKING: Megan Thee Stallion Leads Biden, Trump in Polls",2020
Anti-Vaxxer? This Woman Never Pretended to Give Herself a Shot with a Mechanical Pencil in Middle School,2020
"‘People Shouldn’t Get All Their News from Mainstream Media,’ Says Man Who Gets All of His News from Host of ‘Fear Factor’",2020
Keith Not as Good at Guitar as Low Ponytail Suggests,2020
Tiny Binoculars to Peer Through From Your Velvet-Lined Opera Box as a Single Tear Trails Down Your Cheek,2020
White House Throws Best Murder Mystery Party of All Time,2020
Trump Sons Wish They Were Close Enough With Father to Catch Coronavirus,2020
Nation’s Scientists Urged To Take Break From Finding Cure For a Lil’ Bit,2020
Hell Yeah! This Woman Astral Projected Her Tongue Onto Zac Efron’s Abs,2020
Woman Going to Keep Buying Gourds Until She Feels Better,2020
Existential Crisis Now Factored Into Morning Routine,2020
Man Working Out in Park Not Even Doing Anything That Hot,2020
I LIVED IT: I Gave a Blowjob over Zoom and Still Managed to Puke All Over My Keyboard,2020
3 Intense Workouts That Still Aren’t As Hard As Taking A Sports Bra Off,2020
Trump More Than Welcome to Endorse White Supremacy if He Waits His Turn,2020
Ass That Will Not Quit Fired for Trying to Unionize,2020
How to Queer the Grocery Store Line by Standing There and Being Gay,2020
How to Answer ‘How Are You Doing?’ When the Most Exciting Thing That Happened in the Last 60 Days Was When You Made Cauliflower Really Good,2020
CDC Recommends Horny People Quarantining Alone Make Out With Their Own Arms,2020
Woman Allows Herself 5 Minutes of Fantasizing About if it Had Been Bernie Up There,2020
Dad Would’ve Totally Kept Trump in Check if He Was Debate Moderator,2020
Study Reports Biden Interrupted Almost as Much as Average Woman in Meeting,2020
Proud Boy Sick of All These Mixed Messages,2020
Seething Woman Mutters Right Answers to Self Like She’s Watching Bad Episode of ‘Jeopardy’,2020
Undecided Voter Looking Forward to Next Debate to See Who Else is Running,2020
Celebrate Fat Bear Week by Slamming 100 Pounds of Salmon Each Day,2020
5 Waffle Shirts to Pair With Your Chicken Pants,2020
Inspiring! This Woman Grew Her Own Lettuce to Throw in the Trash Two Weeks Later,2020
Remember Tom Cruise and Katie Holmes Daughter? I’m Her Babysitter and Need Help Finding Her,2020
Woman Living Through Most Terrifying Time in Recent History Sad Halloween is Canceled,2020
"‘It Must be Hard to be a Teen Girl Obsessed With Social Media,’ Says Adult Woman Obsessed With Social Media",2020
"Tuesday Debate Predictions That—Nope, Can’t Do It, Stop Talking About It, I Can’t Handle This",2020
Aw! This 50-Year-Old Dude Wants Kids Someday,2020
"I Sleep When my Baby Sleeps, and I Coal Mine When my Husband Coal Mines",2020
"4 Halloween Costumes for Single People in Quarantine That are All Donald Fagen, the Sole Remaining Member of Steely Dan",2020
Woman Lists Advil as Primary Care Provider,2020
How I Reject Binaries but Also I’m A Top,2020
Woman Who Forgot to Brush Her Teeth In For a Rough Day Under That Mask,2020
I’m Not a Religious Extremist – I Just Want to Force my Religious Views Through the Highest Court in the Nation,2020
"‘It’s A Whole Thing,’ Says Woman Describing Either Minor Inconvenience Or Life-Changing Trauma",2020
This Hydration App Reminds You to Drink Water by Sending a Sniper to Your Home,2020
The 4 Best Mousses to Turn Your Hair Into a Crunchy Little Snack,2020
Here’s Why I Use My Vacant Uterus as a Halloween Store,2020
Wait: Unsolicited Advice Actually Kind of Good???,2020
Lizards and Iguanas: We Know the Difference Between Them,2020
White Guy Excited to Burn Down the System and Also Control the Rebuilding Effort,2020
5 Things I Learned About Lube by Having Sex with the Tin Man From ‘The Wizard of Oz’,2020
"Why I’m Ditching Social Media – Oh No, Wait, This Line is Actually Really Long",2020
Yeast Infection Always?,2020
The Next Stimulus is Just a Six-Pack of Mike’s Hard Lemonade and a Gun With a Single Bullet in It,2020
QUIZ: Are You Basic Or Is Everyone Basic But Thinks They Have to be ‘Different’ Due to Our Individualistic Society?,2020
Domestic Terrorist? Sarah Is Harmonizing,2020
Refreshing! This Down-to-Earth Mother Also Knows Her Son Sucks,2020
Help! I Got a Bidet and Now I’m Addicted to Having a Wet Ass,2020
"Three Boxy Cable Knits That Say, ‘Can Men and Women Ever Really Be Just Friends?’",2020
"Unbeknownst to Its Immense Power, Grandma Texts ‘K’",2020
10 Stick-and-Pokes for When You Want to Look Like a High School Desk,2020
You’ll Never Guess This Troll’s Riddle but if You Do Your Skin Will be Clear Forever,2020
QUIZ: Is He Sexually Harassing You or Just Reminding You That Your Dark Skin is Beautiful?,2020
"Haircuts That Say, ‘My Middle School Ringtone Was My Chemical Romance’s ‘Welcome to the Black Parade’",2020
Woman Sorting Price from High to Low Just to Feel Something,2020
Study Finds You Can Just Buy a Toblerone if You Want To,2020
No Thank You! This Granola Brand is Run by Adult Siblings,2020
College Student Torn Over Which Anarchist Jurisdiction to Move to for Tech Job,2020
Two-Bagel-A-Day Diet Somehow Not Curing Woman’s Brain Disorders,2020
"QUIZ: Did You Eat Beets 6 Hours Ago, or Has Your Body Chosen a New Pope?",2020
How to Actively Listen and Not Just Think About GoDaddy Being Named GoDaddy,2020
Woman Who Got New Job Now Sad She Has to Work,2020
Wow! Woman’s Adult Acne More Consistent Than Her Adult Friendships,2020
Woman Wakes Up to Birds Singing and Fact That This Whole Thing Can Fall Apart Because of One Person,2020
Goals! This Dog Has No Idea What’s Going On,2020
Feeling the End-of-Summer Blues? Take These Chelsea Boots and Shut the Fuck Up,2020
How to Check in on Your Horny Friend During Quarantine Without Making Her Blow Her Lady Wad,2020
Wow! Parents Full-blown Obsessed With Another Show You’ve Never Heard Of,2020
Killing It! Woman Plans Entire Week’s Meals Around 8-Pack of Hamburger Buns,2020
"My Favorite Disney Princess is Kelly Ripa, And Yes That Counts Because Disney Owns ABC",2020
Why I Stopped Dressing for Men and Started Dressing for my Coworkers’ Teenage Kids Who May See me Over Zoom,2020
"‘This Site is a Hellhole,’ Tweets Woman Who Will Check for Likes 48 Times",2020
Woman Staring Off in Space Just Backtracking Mentally to See if She Put Two Tampons in,2020
National Butterscotch Council Increases Recommended Daily Butterscotch Intake From One Ladle to Two,2020
"Yes, Shakespeare Wrote ‘King Lear’ During Quarantine, But He Didn’t Have the Means to Rewatch ‘Gilmore Girls’",2020
You Wish! 5 Stains That Look Like Cum But Aren’t,2020
Green New Deal? This Woman Pees in the Shower,2020
Adorable! This Tiny Car Has an Even Tinier Honk,2020
Chic Work-From-Home Desks That Would be Perfect for Stuart Little,2020
College Student Excited to Do Some Back-To-Home Shopping,2020
I’m in a Throuple Because Our Fourth Left to Go to Some Chocolate Factory With His Grandson,2020
Woman Putting on Jeans Like an Ancient Artifact,2020
Woman Depressed Thinking About How Depressed She’ll Be When Seasonal Affective Disorder Kicks In,2020
"3 Dance Moves That’ll Make Him Say, ‘Are These All Choreographed Dances From High School Musical?’",2020
"This Fall’s Hottest Fashion Trend­––Oh Fuck, Summer’s Over?? What Am I Doing With My Life?????",2020
"‘I Can’t Even Function Without Coffee,’ Says Woman Who Got Dressed, Put on Makeup, and Drove to Starbucks",2020
Annoying White American Thinking About Becoming Annoying White Canadian,2020
Red Flag? This Guy Is Striving for Greatness,2020
Woman Unsure What Life Will be Like When She Can’t Masturbate at Three in the Afternoon,2020
How I Made Peace with my Body by Realizing I Can Always Change it Later,2020
Group Chat Now Just Regular Chat for Two of Five People in It,2020
QUIZ: Are You Emotionally Unstable or Just an Average Person Going Through the Trials of Life?,2020
‘How Has 2020 Been So Terrible?’ Asks Woman Living in Oligarchic Police State,2020
I Can Tolerate Lactose Because I’m a Fluffy Little Highland Calf,2020
Conservative Pundit Can’t Stop Making Today’s Teens Sound Cool as Hell,2020
REPORT: Something Not Quite Right About Birds,2020
"If Going Outside is So Great Then Why – Oh, Oh Okay Yeah This is Nice",2020
How I Explore the Duality of Man by Being a Bitch Sometimes and Then Other Times Not,2020
Gender Crisis Put on Hold,2020
Study Finds That Spitting Out Huge Gobs of Toothpaste is the #1 Cause of Having Huge Gobs of Toothpaste in Your Sink,2020
How to Get a Charlie Kaufman Pussy That Men Will Love but Never Truly Understand,2020
I Listened to Jazz and Now My Period Cycle is Unpredictable and Largely Improvised,2020
Fun Fall Activities Because I Naively Assume the Planet Will Still be Around in a Few Months,2020
The 4 Sexiest Photos of Mandy Patinkin’s Head on Channing Tatum’s Body we Were Able to Photoshop on Very Short Notice,2020
Anti-Capitalist Woman Watching a Lot of ‘Selling Sunset’,2020
Get Him to Notice You by Commenting ‘I Am Your Overlord Now’ on All His Instagram Posts,2020
"‘This is Not How Things Change,’ Says Woman About the Only Way Things Have Ever Changed",2020
Why I Support The Postal Service Even Though I Prefer the Iron &amp; Wine Version of ‘Such Great Heights’,2020
"5 Doc Marten Looks That Say, ‘I’m Attracted to All Women and Two Men’",2020
Mom Who Makes Everything Religious Wishes You Didn’t Make Everything so Political,2020
"Yes, I Put My Hand on My Boyfriend’s Chest in Photos, Because That’s Where His Penis is Located",2020
Not a Zoom Background! Grandma’s Actually Riding a Roller Coaster in the Louvre,2020
"‘I Have a Thing for Blondes,’ Says Man Who Forgot the Word ‘White’",2020
How to Tell Little Girls They Can Do Anything They Want Except for Probably a French Braid,2020
3 Helpful Calming Techniques That Xanax Still Blows Out of the Water,2020
5 Ways to Adapt Ethnic Dishes for a White Palate by Ruining Them,2020
Inspiring! This Woman Will Read Your Tarot Cards Even Though You Really Really Don’t Want Her To,2020
Husband Material? This Guy is Married,2020
Finally! Disney+ is Launching a Live-Stream of Walt Disney’s Frozen Head,2020
"QUIZ: Does it Take Everyone Six Hours to Write a Three Sentence E-Mail, Or Is it Just You?",2020
Why I’m Waiting Until the Third Date to Make My Sims WooHoo,2020
5 Summer Hijab Trends That Won’t Stop White People From Thinking You’re Oppressed,2020
Woman Sent Nudes So Tasteful They Won ‘The Great British Baking Show’,2020
This Woman Didn’t Pee After Sex and Now Her Dog is Dead,2020
Aww! Petite Friend Had a Petite Poop,2020
Couple Rationing TV Shows to Prepare for Winter,2020
How to Cum So Hard You Trigger Another Cambrian Explosion and Usher in a Wave of Unprecedented Biodiversity,2020
5 American Eagle Tube Tops That Won’t Bring Back Your Hymen,2020
How I Learned to Love My Tooth Gap by Pretending It’s a Vacation Destination for The Borrowers,2020
"Why All Dogs Are Boys, All Cats Are Girls, and All Alpacas are Non-Binary",2020
"REPORT: Vegetables Do Feel Pain, and They Love It",2020
Could This Orifice Be the Next,2020
How to Let Go of Old Resentments and Make Room for New Ones,2020
Wow! This Woman’s D&amp;D Character Keeps Trying to Start Group Sex,2020
"5 Hairless Animals That Will Make You Say, ‘Yeah, That’s What That Looks Like’",2020
Why I’m Done Answering Questions About My Lower Back Tattoo That Says ‘Loading Zone’,2020
How to Get Your Boss to Read Your Mind Over Zoom Instead of Self-Advocating,2020
Trans Icon: This Cisgender Man is Short,2020
REPORT: Pointing Out Things That Aren’t a Personality is Also Not a Personality,2020
Why I’m Leaving New York (There’s a Fly in My Apartment and I Can’t Catch Him),2020
"‘Sorry I’m So Out of It,’ Says Woman Who is Literally Always Like This",2020
How to Identify Your Attachment Style and Then Weaponize It,2020
"QUIZ: Is This Phoebe Waller-Bridge, Phoebe Bridgers, or a Feeble Bridge?",2020
How to Act Cool Even Though Last Night You Fell Asleep to ‘Relaxing Music for Dogs’,2020
One of the Sprouse Twins is Single Again and We Can’t Tell Which!,2020
"‘It’d Be Nice to Have a Baby Goose Around,’ Muses Girlfriend, Unprompted",2020
We Dare You to Name a Single Thing Quirkier Than These Patterned Masks,2020
"‘Sorry to Put All That On You,’ Says Woman to Therapist",2020
Husband Material? This Guy Only Has 14 Pubes on His Bathroom Floor,2020
Here’s a Picture of the Container Store to Help Get You Off,2020
"The 5 Best Ab Exercises of All Time, Including the Dinosaur Era",2020
4 Grandmas Who Will Force-feed You Until You Choke,2020
Theatre Conservatory Opens School of Performative Activism,2020
Does He Have Trouble Communicating or is He an Adult in a ‘Peanuts’ Movie?,2020
Aww! This Woman is the ‘Mom’ of Her Nuclear Family,2020
Flip Flops You’ve Had Since Third Grade File for Emancipation,2020
Woman Without Twitter Account Having Pretty Good Day,2020
"Why I Refuse to See Other Women as Competition, Unless They Have the Same Name as Me",2020
4 Pectoral Exercises That Still Won’t Prepare You For A Cat Walking Across Your Titties,2020
Dead Woman’s Friends Toss Borrowed Hair Ties on Her Grave,2020
5 Push-Up Bras So Your Boobs Can Be Closer to God,2020
Wow! This Woman Can Do a Subversive Reading of Any Problematic Media She Likes,2020
Otters Made Famous from “Holding Hands” Viral Video Finalize Divorce,2020
Why I Decided to Collage all My Nudes Into a Mosaic That Looks Like a Bigger Nude from Far Away,2020
BREAKING: Going Through Car Wash Still Fun as Fuck,2020
Students Wonder How They’re Supposed to Write Apologies on Math Tests if They’re Learning Remotely,2020
8 Rockabilly Dresses That Will Make them Quake in Fear of Your Colossal Tits,2020
5 Heartbreaking Pics of Dips With No Chips,2020
Toilet Tired of Your Shit,2020
Nation’s Teens Roll Out Plan to Teach Younger Cousins to Smoke Weed Virtually This Fall,2020
BREAKING: This Is Kind of a Lot for Me Right Now,2020
Why I Support the USPS Even Though My Lake House Has a Magic Mailbox,2020
Cool! This Woman’s Signature Scent is Pure Fear,2020
Contributions to Conversations That Aren’t Just ‘I Love That!’,2020
How to Nail a First Date by Trauma-Dumping on Each Other,2020
Man Who Believes There Are Only Two Genders Thinks There Should Be a Ninth Rocky Movie,2020
Inspiring! This Woman Set an Intention to Shit More,2020
Mom Keeps Asking About Grad School as if There is Any Point,2020
Not Sure If Dad Meant to Instagram That Photo of Grass,2020
5 Inopportune Times My Father Tried to Teach Me About Clouds,2020
Why I’m Leaving an Unaffordable City for an Unaffordable Suburb,2020
Friend Who’s Uncomfortable Talking Politics Totally Cool Discussing How She Got Railed Last Night,2020
Stressed? Here Are 7 Meditation Apps That Aren’t as Effective as Having Money,2020
"<i class=""fas fa-lock-alt""></i>How to Stay Focused on the Election When Steve Bannon Just Got Arrested by The USPS",2020
Astrology Apps That Still Won’t Justify Boning Your Ex,2020
Immigrant Parents Shocked to Discover a Plate of Cut Fruit is Not a Substitute for a Constructive Apology,2020
Get a Good Night’s Sleep By Hiring a Man to Shoot a Blow Dart Into Your Neck Every Night,2020
"White House Mandates Postal Workers Be Blindfolded, Spun Around Three Times Before Delivery",2020
I Thought I Was the Main Character in My Life. Then I Realized I’m Mallory From ‘The Baby-sitters Club’.,2020
"Wow! When This Hospital Was Short on Doctors, This Adorable Dog With a Stethoscope Stepped In",2020
You’ll Never Guess Which of Your Favorite Child Stars Have Gout,2020
How to… Pop a Wheelie? That Can’t Be Right,2020
Woman So Tired She’ll Skip Checking the Shower for Murderer Tonight,2020
Trendy Summer Haircuts Worth Endangering Your Stylist,2020
6 Filling Snacks to Help You Forget That You Want to Fuck Charlie Puth,2020
School Reduces Arts Budget to Five Box Tops for Education per Year,2020
My Chosen Family is the Murder of Crows that I Trained to Attack My Enemies,2020
Woman Has 37 Little Dinners,2020
Unprofessional? This Coworker Never Shows His Dog on Zoom,2020
Wow! This Woman Founded a Body-Positive Yoga Studio Where You Can Eat Cake and Jack Off,2020
How to Open Up To Him Even Though He Isn’t Your High School English Teacher,2020
QUIZ: Does He Support Your Career or is He One of Those Inflatable Waving Tubes Outside the Used Car Dealership?,2020
5 Habits To Get Your Creative Juices Flowing Until You Cum A Novel,2020
Why I Stopped Weighing Myself and Started Multiplying My Density by My Volume,2020
Creepy Haunted Doll Manufacturer Announces New Plus-Sized Creepy Haunted Doll,2020
"How to Tell If He’s in Love With You by the Way He Says, ‘Oh Fuck, I’m About to Cum’",2020
QUIZ: Is She Gay or Does She Call All Her Friends ‘Girlfriends’?,2020
Woman Who Added Three Infographics to Instagram Story Dies of Activism Fatigue,2020
"Dry, Itchy Skin? That Sucks",2020
"I’m a Burpy Girl, and I Love That About Me",2020
How To Always Poop When Your Partner Needs To Pee,2020
Boyfriend Won’t Stop Talking About History of Airplanes or Something,2020
"‘No, Right, I Hear You,’ Interrupts Man",2020
How to Ask Them to Wash Their Hands for 20 Seconds Before Fingering You,2020
Chair Heavier Than it Looks,2020
Tell us Your Astrological Sign and We’ll Pretend to be Interested Because We Are in Love With You,2020
Broken Vibrator Perfectly Simulates Man Doing His Best,2020
"Why the Music I Listen to, Shows I Watch, and Books I Read are Not Indicative of My Taste",2020
4 Sneakers with Bows So People Don’t Think Your Feet Are Men,2020
4 Delicate White Blouses That Have Salsa On Them AGAIN? JESUS,2020
"Amazing! This Woman’s Boobs Are Full of Piss, But She Doesn’t Let That Define Her",2020
Yikes! This Woman’s Sleep Paralysis Demon Is Actually Her High School Boyfriend Who Became a Trump Supporter,2020
Teen Mom? This 29-Year-Old Just Had a Baby,2020
"Woman is Vegan Except for Honey in Tea, Eggs, Sushi, Chick-fil-A When She’s Drunk, Every Holiday, and Beef",2020
Help! I Lied On My Resume and Now I’m a Substitute Music Teacher Helping My Class Win Battle of the Bands,2020
Woman Misses Being in the Way at Bars,2020
This Woman Got High and Listened to Philip Glass in the Shower and When She Got Out She Was Better at Math,2020
New Evidence Shows Lewis and Clark Expedition Was Mostly Them Gaslighting Sacagawea,2020
"Cat With Crossed Paws Thinks She’s a Fancy Little Lady, Now Doesn’t She?",2020
"‘It Was a Different Time,’ Says Mom Referring to Racist Comment Made Five Minutes Ago",2020
How to Not Bring Up Your Vagina When You Run Into Your Gynecologist at Whole Foods,2020
"5 Buildings That Are Penis, But It’s Okay. Penis is Not Bad",2020
Convicted Sexual Predator Suddenly Prison Abolitionist,2020
